ano,tag,nomeMusica,duracao
1983,rock,Other Side Of Antarctica,417
1983,pop,Dance Hall Days,235
1983,rock,Dance Hall Days,235
1984,rock,This Guitar Says Sorry,154
1984,rock,Working On The Highway,192
1984,pop,Brillantin' Brutal',228
1984,rock,Shed So Many Tears,136
1984,pop,Girl You're So Together,189
1984,rock,Girl You're So Together,189
1984,pop,Brooklyn On A Saturday Night,225
1984,rock,Brooklyn On A Saturday Night,225
1984,rock,Te Hacen Falta Vitaminas,225
1984,rock,The Attitude Song,694
1984,rock,Salamanders In The Sun,306
1984,rock,Light,79
1984,rock,Help Youngblood Get To the Freaky Party,346
1984,reggae,Sweet & Dandy,170
1984,rock,Sweet & Dandy,170
1985,rock,Only Lonely,302
1985,rock,Josephine,308
1985,pop,Tous Les Garçons Et Les Filles,207
1985,rock,Tous Les Garçons Et Les Filles,207
1985,rock,Song Of The Valley,307
1985,pop,Into The Groove,285
1985,jazz,One More Night,286
1985,pop,One More Night,286
1985,rock,One More Night,286
1985,rock,American Ghost Dance (2003 Digital Remastered),231
1985,rock,Life Is Wild,160
1985,rock,Stephanie Says,171
1986,rock,Raise Your Hands,311
1986,rock,Driving Home For Christmas,241
1986,pop,Missionary Man,270
1986,rock,Missionary Man,270
1986,pop,A Little Of You,237
1986,rock,A Little Of You,237
1986,rock,Mama Kin,237
1986,jazz,Don't Make Me Wait For Love,286
1986,pop,Papa Don't Preach,270
1986,rock,Papa Legba (2005 Digital Remaster),356
1987,rock,Angel,335
1987,rock,Floating,491
1987,rock,Haunted House,155
1987,rock,You're Crazy,285
1987,rock,Sweet Child O' Mine,445
1987,rock,Midnight,186
1987,rock,Echo,470
1987,pop,Down And Out In Paradise,217
1987,rock,Down And Out In Paradise,217
1987,pop,Dirty Diana,282
1987,rock,Dirty Diana,282
1987,rock,Persiana Americana (Live),344
1987,jazz,Bata 6/8,363
1988,rock,What It Takes,314
1988,rock,Comeback,126
1988,rock,Devil's Daughter,263
1988,rock,Patience,402
1988,rock,Raise Your Hand,138
1988,rock,I'm Your Witchdoctor,129
1988,jazz,Two Hearts,204
1988,pop,Two Hearts,204
1988,rock,Two Hearts,204
1988,jazz,Exodus,205
1988,pop,Exodus,205
1988,jazz,Stormy Weather,196
1988,pop,Stormy Weather,196
1988,rock,God Save the Queen (Live),217
1988,rock,Terapia De Amor Intensiva,340
1989,rock,Janie's Got A Gun,330
1989,rock,Shadrach,248
1989,jazz,Chim Chim Cheree,471
1989,pop,Soldats Ne Tirez Pas,192
1989,rock,Hear My Train A Comin',450
1989,rock,Guilty Partner,288
1989,rock,Sin,243
1990,rock,I Know Somethin (Bout You),262
1990,pop,Praying For Time,281
1990,rock,Praying For Time,281
1990,rock,Main Street Eyes,221
1990,rock,5 Foot 1,301
1990,rock,Commercial Reign,284
1990,rock,Commercial Reign,283
1990,country,Makin' Believe,166
1990,pop,Someday,237
1990,jazz,You Can't Hurry Love (Live),174
1990,pop,You Can't Hurry Love (Live),174
1990,rock,You Can't Hurry Love (Live),174
1990,rock,Entre Caníbales,247
1990,pop,Better Ways,224
1990,rock,How Can You Resist It,329
1990,rock,We Three Kings,329
1990,rock,Procession,574
1990,rock,Twilight,298
1991,rock,Milkcow Blues,256
1991,reggae,Lively Up Yourself,173
1991,reggae,Tumble Down,218
1991,jazz,It Don't Mean A Thing (If It Ain't Got That Swing),229
1991,rock,Right to Work (Live),146
1991,pop,Junge Römer,271
1991,rock,Locomotive (Complicity),525
1991,rock,El Mar No Cesa (Live),199
1991,country,Life's Railway To Heaven,175
1991,pop,Life's Railway To Heaven,175
1991,rock,Life's Railway To Heaven,175
1991,rock,Music For The Head,162
1991,rock,Naked In The Rain (Album Version),266
1991,rock,The Greeting Song (Album Version),193
1991,pop,The Beginning (Giro E Giro Mix),368
1991,pop,See The Lights (2002 Digital Remaster),262
1991,rock,See The Lights (2002 Digital Remaster),262
1991,rock,Slaves & Bulldozers,416
1991,rock,Hunger Strike,244
1991,pop,Born To Be Together,178
1992,rock,Brother,267
1992,rock,God Smack,231
1992,rock,Sickman,329
1992,rock,Angry Chair,262
1992,rock,Would?,223
1992,pop,Little Bird,385
1992,rock,Little Bird,385
1992,rock,My God  (Audio Adrenaline Album Version),219
1992,rock,Fools Like You,281
1992,reggae,Smile Jamaica,308
1992,pop,Monarchy Now,253
1992,rock,Nothing's The Same,305
1992,rock,Nothing's The Same (2002 Digital Remaster),307
1992,country,Blueberry Hill,156
1992,rock,Stickin In My Eye,145
1992,jazz,Mr. Wonderful,201
1992,pop,Mr. Wonderful,201
1992,reggae,Them No Care,216
1992,reggae,Oh It's You,230
1992,rock,Sting Me,349
1992,country,Washed Away,320
1992,rock,Washed Away,320
1992,rock,40,407
1993,rock,Cryin',309
1993,rock,Crazy,320
1993,rock,Livin' On The Edge,324
1993,rock,Crazy,319
1993,reggae,Searching,257
1993,rock,Tripping Billies,289
1993,country,Reuben James,167
1993,pop,Reuben James,167
1993,pop,Anytime You Need A Friend,652
1993,country,Heart Trouble,198
1993,jazz,Please Come Out Tonight,347
1993,pop,Please Come Out Tonight,347
1993,rock,Please Come Out Tonight,347
1993,jazz,Everyday,343
1993,pop,Everyday,343
1993,rock,Everyday,343
1993,rock,Vegetable (Live),188
1993,rock,Stop Whispering (US Version),251
1993,pop,Belleza Pasajera,190
1993,pop,En La Tierra Caliente,232
1993,rock,Rocket,247
1993,jazz,Mambo Tipico,180
1993,jazz,Mambo Suavecito,178
1993,country,The Coloness Of The Chain,329
1994,rock,Don't Sit Under The Apple Tree,172
1994,rock,Get It Together,246
1994,rock,Eugene's Lament,133
1994,rock,Don't Want To Know (1999 Digital Remaster),247
1994,rock,Wildcat Days (1999 Digital Remaster),274
1994,pop,Le chanteur malheureux,197
1994,jazz,Here Comes The Big Parade,252
1994,pop,Here Comes The Big Parade,252
1994,rock,Here Comes The Big Parade,252
1994,pop,So Hot,82
1994,pop,Rollercoasting,175
1994,rock,Party In The Sky,232
1994,rock,Voodoo Chile Blues,528
1994,country,I Can't Feel You Anymore,195
1994,pop,Bedtime Story (Album Version),249
1994,rock,My Heart Is Yearning,144
1994,rock,Memorabilia,442
1994,rock,Ballad In Urgency,339
1994,rock,Nonfiction,256
1994,rock,Rise & Shine,211
1994,country,White Christmas,141
1995,pop,A Whiter Shade Of Pale,317
1995,rock,A Whiter Shade Of Pale,317
1995,pop,(I Heard That) Lonesome Whistle,164
1995,rock,(I Heard That) Lonesome Whistle,164
1995,rock,This Ain't A Love Song,433
1995,country,Everybody Loves Me But You,151
1995,pop,Everybody Loves Me But You,151
1995,rock,Everybody Loves Me But You,151
1995,rock,X-Static,253
1995,pop,HISTORY,250
1995,rock,HISTORY,250
1995,pop,Tabloid Junkie,273
1995,rock,Tabloid Junkie,273
1995,rock,You Found Me,151
1995,rock,Drum Machine Joy,215
1995,country,I Cried All The Way To The Altar,148
1995,pop,I Cried All The Way To The Altar,148
1995,rock,I Cried All The Way To The Altar,148
1995,rock,Bullet Proof ... I Wish I Was (Acoustic),215
1995,country,Raining On Our Love,279
1995,pop,Raining On Our Love,279
1995,rock,Raining On Our Love,279
1995,rock,Suicidal Dream,192
1995,rock,Cicada,312
1995,rock,Christlike Roche,338
1995,rock,Rotten Apples,184
1996,rock,This Is Where It Ends (Album Version),173
1996,reggae,Corner Stone,135
1996,pop,"Because You Loved Me (Theme from ""Up Close and Personal"")",275
1996,country,Frankie And Johnny,164
1996,country,Got The Bull By The Horns,132
1996,country,The Golden Rocket,123
1996,pop,Reminisce For A While (Sung With Raul Malo),268
1996,rock,Reminisce For A While (Sung With Raul Malo),268
1996,country,Moses,208
1996,country,Let Him Fly,191
1996,jazz,Dance Into The Light (LP Version),262
1996,pop,Dance Into The Light (LP Version),262
1996,rock,Dance Into The Light (LP Version),262
1996,jazz,That's What You Said  (LP Version),261
1996,pop,That's What You Said  (LP Version),261
1996,rock,That's What You Said  (LP Version),261
1996,rock,Ready To Go,304
1996,rock,Soul Simplicity,275
1996,rock,Kill Your Darlings,201
1996,rock,Brother,305
1996,rock,War?,160
1996,rock,Girl From A Pawnshop,405
1996,rock,Iron Man,260
1996,reggae,It's You,128
1996,rock,It's You,128
1997,rock,Some Kind Of Zombie (Criscoteque Remix),280
1997,country,Fair Enough (LP Version),220
1997,rock,A New Hope,225
1997,country,Trying To Get To Heaven,321
1997,rock,Trying To Get To Heaven,321
1997,reggae,Destiny,239
1997,jazz,Speak Low,348
1997,pop,Pennies From Heaven,135
1997,rock,Lotion (LP Version),238
1997,rock,Ghetto Child,318
1997,rock,What Are We Here For,346
1997,pop,Bubblegum,146
1997,rock,Movement 4 [from Kiss] (Album Version),228
1997,rock,Looking Back,157
1997,rock,Looking Back,157
1997,pop,Honey,301
1997,pop,Outside,286
1997,pop,Honey,314
1997,jazz,Only You,175
1997,rock,Waiting,417
1997,rock,Subterranean Homesick Alien,267
1997,rock,The Door,213
1997,rock,Roses,209
1997,country,Paper Tigers (acoustic version),221
1997,rock,Paper Tigers (acoustic version),221
1998,rock,Tearing Everyone Down,175
1998,rock,Alpha Beta Parking Lot,210
1998,country,Give It Up Or Let Me Go,296
1998,country,When Jesus Comes Calling For Me,166
1998,pop,When Jesus Comes Calling For Me,166
1998,country,Better Days (Album Version),208
1998,rock,La Vuelta,187
1998,jazz,Summer Rain,228
1998,rock,House Full Of Bullets,415
1998,country,Flaming Red,134
1998,rock,Wishlist,235
1998,rock,Pub Pusher,264
1998,pop,Still Love Remains (Album Version),355
1998,pop,When A Man Is Wrong (Album Version),259
1998,rock,I'm A Lazy Sod (Live),126
1998,jazz,What If I Forget The Champagne,313
1998,rock,What If I Forget The Champagne,313
1998,rock,Paralyzed,297
1998,rock,Marvel Hill,255
1998,rock,Explode,274
1998,jazz,Flight To Jordan,356
1998,reggae,She Will Never Let Me Down,126
1998,rock,She Will Never Let Me Down,126
1998,jazz,Le Temps Des Cerises,109
1998,rock,From Afar (Album Version),324
1998,rock,El Greco: Movement III,408
1999,rock,Be Like That,279
1999,rock,Duck And Run,279
1999,rock,This Is NOT a Crass Song,360
1999,pop,Larger Than Life,236
1999,reggae,Small Axe,225
1999,reggae,Memphis,178
1999,country,I Can't Wait 'Til Christmas (LP Version),241
1999,country,God Gave Me You (Single/LP Version),246
1999,country,Love Happens Just Like That (LP Version),166
1999,rock,Don't Panic,139
1999,jazz,Sunshower,277
1999,country,Hole In My Head,201
1999,rock,Leo's place,247
1999,country,Let's Make Love (Album Version),253
1999,rock,Next Year,275
1999,pop,Voici Les Clés,227
1999,rock,Keep The Circle Around,230
1999,country,Love Is What We Make It,259
1999,pop,Love Is What We Make It,259
1999,country,Make Me Believe,231
1999,country,Anything's Better Than Feelin' The Blues,182
1999,rock,The Frail,169
1999,rock,Every You Every Me (Infected By The Scourge Of The Earth),238
1999,rock,E,366
1999,rock,Get On Top (Album Version),198
1999,rock,Emit Remmus (Album Version),240
1999,rock,Parallel Universe (Album Version),269
1999,pop,You Can Still Be Free,118
1999,rock,You Can Still Be Free,118
1999,country,Two Hearts One Love,223
1999,pop,Two Hearts One Love,223
1999,rock,Two Hearts One Love,223
1999,rock,Fever Dream,365
1999,pop,Atrapados En La Red,405
1999,country,Menutha,252
2000,pop,The Call,236
2000,pop,Shape Of My Heart,174
2000,pop,Everyday,325
2000,pop,Tell Your Momma Come,196
2000,pop,On My Own,235
2000,pop,Magic,275
2000,pop,Don't Go Knockin' On My Door,224
2000,pop,Can't Make You Love Me,197
2000,pop,Oops!...I Did It Again,211
2000,rock,Korea (LP Version),204
2000,rock,God You Are My God,225
2000,pop,Shifty Disco Girl,185
2000,pop,Bigbigkiss,213
2000,country,When I Was Drinking,223
2000,country,Polly's Dress,71
2000,rock,Fortunate Fool,229
2000,rock,It's All Understood,216
2000,rock,Inaudible Melodies,207
2000,country,The Woman I Need (Honky Tonk Mind),132
2000,rock,Pushing Me Away (Album Version),190
2000,rock,Crawling (Album Version),209
2000,rock,Answer In The Question,130
2000,rock,Metal,427
2000,pop,Volvere,164
2000,rock,Slave To The Wage,247
2000,rock,Everything In Its Right Place,250
2000,rock,Kick Out The Jams,202
2000,rock,Much Against Everyone'S Advice (Dave Bascombe Radio Mix),171
2000,rock,Real Love,250
2000,rock,New York,343
2001,pop,Lachen und weinen,335
2001,rock,Spaz's House Destruction Party,184
2001,rock,Unwanted,260
2001,reggae,Rainbow Country (Red Gold And Green Version),258
2001,pop,Boys,225
2001,rock,Arco Arena,91
2001,rock,The Space Between,294
2001,country,There Will Come A Day (Album Version),253
2001,rock,Rock The House (Explicit),250
2001,rock,Rock The House (Radio Edit),184
2001,reggae,Out Deh,217
2001,rock,Just A Phase,354
2001,rock,Warning,292
2001,rock,El Momento,303
2001,pop,Peaceful World,219
2001,rock,Peaceful World,219
2001,pop,Heaven Can Wait,289
2001,rock,Heaven Can Wait,289
2001,rock,Time Will Tell,89
2001,rock,Bath Of Least Resistance,108
2001,pop,Una na na,240
2001,country,Threadbare Gypsy Soul,296
2001,rock,Fast-Track,197
2001,rock,Everchanging,261
2001,rock,1000 Good Intentions,188
2001,pop,I'm Alive (BT & Sasha Mix),828
2001,rock,Fire,363
2001,rock,Streamline,218
2001,pop,Cut Here,251
2001,rock,Cut Here,251
2001,rock,Soot and Stars,400
2001,rock,Don't Let Go,181
2002,pop,Mädchen mit Plan,273
2002,rock,Sarah Yellin',209
2002,rock,Here Without You,232
2002,pop,Love Thing,278
2002,rock,The Distance,346
2002,rock,Celluloid Heroes,337
2002,rock,Going Down,188
2002,rock,Ja Nun Hons Pris,36
2002,country,Help Me Make It Through the Night,172
2002,rock,One I Love,274
2002,pop,That Old Gang Of Mine,146
2002,country,Unsaveable (Album Version),231
2002,rock,Overdrive,270
2002,rock,The Witching Hour,263
2002,pop,Clown,197
2002,rock,You Are,269
2002,jazz,Testify,393
2002,pop,Testify,393
2002,rock,Testify,393
2002,rock,Strip The Soul (album version),442
2002,rock,Everybody's Gonna Be Happy,156
2002,rock,Venice Queen (Album Version),367
2002,rock,Dope Nose,137
2003,rock,It's Not Me,230
2003,rock,This House Is Haunted,211
2003,pop,Erased,280
2003,rock,Erased,280
2003,rock,Death Of A Nation,116
2003,rock,I Don't Wanna be a War Hero,99
2003,pop,Be With You,260
2003,pop,Krazy In Luv,255
2003,rock,All Of This,280
2003,pop,"Theme From ""Come September"" (LP Version)",156
2003,rock,"Theme From ""Come September"" (LP Version)",156
2003,pop,Everytime,207
2003,reggae,Excerpt Of A Speech By Marcus Mosiah Garvey,57
2003,jazz,Anyone Who Had A Heart,200
2003,pop,C'est Toujours Le Matin,210
2003,rock,A Rush Of Blood To The Head (Live In Sydney),411
2003,rock,Fall Line,136
2003,reggae,How Can I,240
2003,country,Where Does Rosie Go?,135
2003,pop,Where Does Rosie Go?,135
2003,rock,Genius,169
2003,rock,Wicker Chair,188
2003,country,God's Will,349
2003,rock,Saturday Night's Alright (For Fighting),224
2003,jazz,Welcome,217
2003,pop,Welcome,217
2003,rock,Welcome,217
2003,rock,Evalia,261
2003,rock,English Summer Rain,242
2003,rock,Where Is My Mind (XFM Live Version),224
2003,rock,2 + 2 = 5,198
2003,rock,Amber Changing,219
2003,rock,Swing Life Away,200
2003,rock,Meet Me In The Bathroom,177
2003,rock,Between Love & Hate,191
2003,rock,Love Ain't No Stranger (2003 Digital Remaster),252
2004,rock,Whitfield,296
2004,rock,How Does It Feel,225
2004,rock,Crawlspace,174
2004,pop,Let's Get It Started,223
2004,pop,Let's Get It Started,230
2004,rock,The Radio Saved My Life Tonight,314
2004,pop,My Prerogative,213
2004,jazz,How Insensitive,362
2004,rock,Motorcycle girl,233
2004,pop,Amazing,267
2004,rock,Amazing,267
2004,pop,Shoot The Dog,309
2004,rock,Shoot The Dog,309
2004,pop,What You Waiting For?,225
2004,rock,What You Waiting For?,225
2004,pop,Harajuku Girls,291
2004,rock,Harajuku Girls,291
2004,country,Redwing,253
2004,rock,A Crow Left Of The Murder,228
2004,pop,Mi Morena (Revised Live Version),286
2004,rock,Day Old Blues,213
2004,rock,Jenny Take a Ride,207
2004,rock,Grey Skies Turn Blue,184
2004,rock,Don't Worry About It (Edited),222
2004,pop,These Words,377
2004,pop,After Hours,164
2004,rock,After Hours,164
2004,pop,The Meantime,209
2004,rock,The Meantime,209
2004,pop,Here I Am,121
2004,rock,Here I Am,121
2004,rock,Final Straw (Album Version),246
2004,rock,State Of The Union,139
2004,rock,Chatterbox,189
2004,rock,Citizen Of The Planet,194
2004,pop,Chelsea Girl (Live),308
2004,rock,Chelsea Girl (Live),308
2004,pop,Lost,232
2004,rock,Lost,232
2004,rock,Vertigo,451
2004,rock,Preparation,102
2004,rock,Mykel And Carli,172
2005,pop,Check On It,211
2005,rock,Up On That Cloud,213
2005,rock,Wildflower,254
2005,pop,Someday (I Will Understand),1
2005,rock,Speed Of Sound (Live),285
2005,rock,The World Turned Upside Down,269
2005,rock,Things I Don't Understand,296
2005,rock,Free (Album Version),278
2005,pop,Until You Love Someone,166
2005,rock,No Ordinary Love (Remastered LP Version),335
2005,country,I Want You (Album Version),246
2005,rock,Hell,117
2005,rock,Razor,288
2005,rock,Still,313
2005,pop,Eleanor Put Your Boots On,195
2005,rock,Eleanor Put Your Boots On,195
2005,pop,Do You Want To,215
2005,rock,Do You Want To,215
2005,rock,Rockin' Every Night (Live),199
2005,rock,White Light,128
2005,rock,November Has Come,161
2005,rock,Dirty Harry (Single Edit),230
2005,rock,All Alone (Live),219
2005,pop,Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05),341
2005,rock,Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05),341
2005,country,Have Yourself A Merry Little Christmas,133
2005,country,Go And Wash (Those Dirty Feet),139
2005,pop,Mine Again,242
2005,country,Thanks A Lot,156
2005,country,I Can't Stop Loving You,262
2005,country,Pick Me Up On Your Way Down,161
2005,rock,Jetstream - Arthur Baker Remix,422
2005,rock,We Will Rock You,120
2005,rock,Follow You Home (Album Version),260
2005,rock,Savin' Me,218
2005,rock,Yell Out,155
2005,rock,Lies,242
2005,rock,6TH Avenue Nightmare,160
2005,rock,I Never Came,288
2005,rock,This Lullaby,83
2005,pop,Music Of The Sun,236
2005,rock,Bury Your Head,212
2005,rock,Bury Your Head (Acoustic),254
2005,pop,Prayer For The Dying (Live In Paris),304
2005,country,Old Times Sake,291
2005,rock,Two Note Swivel (Unfinished Outtake),349
2005,rock,What's Your Damage?,216
2005,rock,Snowball,190
2005,rock,Are You The One?,281
2005,rock,Blue Orchid,160
2006,rock,Affliction,329
2006,rock,Summer Shudder,187
2006,pop,Ring The Alarm,212
2006,pop,Ring The Alarm,161
2006,rock,Loving You Too Long,174
2006,pop,Dolorosa (Live),340
2006,pop,Il Y A Une Question (Live),328
2006,rock,Arnold Layne,202
2006,pop,Let It Be Me,227
2006,rock,Let It Be Me,227
2006,country,Lullaby,352
2006,rock,Feeling Blue,289
2006,rock,Good Enough,331
2006,pop,Mein Herz kann man nicht kaufen,163
2006,rock,The Blinding Sun,117
2006,pop,4 In The Morning,294
2006,rock,4 In The Morning,294
2006,rock,Stampede,207
2006,rock,Love Me,192
2006,pop,The Ghost At #1,217
2006,rock,The Ghost At #1,217
2006,rock,Just Like Lightnin',301
2006,country,I Got Stripes (Live),113
2006,rock,I Got Stripes (Live),113
2006,pop,Lullaby [With Ladysmith Black Mambazo] (Album Version),152
2006,rock,A Visit From Drum,259
2006,pop,U Killed It,265
2006,pop,Vogue [Live],331
2006,pop,Jump [Jacques Lu Cont Edit],320
2006,rock,We March To The Beat Of Indifferent Drum,158
2006,rock,Inside Job,429
2006,pop,SOS,245
2006,pop,We Ride,238
2006,rock,Drones,182
2006,rock,Intro/Chamber The Cartridge,215
2006,rock,Deliverance,191
2006,pop,I Love It [Clubstar Remix],342
2006,country,Should've Said No,246
2006,rock,Truth And Lies,244
2006,rock,Broken Boy Soldier (KCRW Version),231
2006,pop,What Do I Know,252
2006,rock,Son Of A Bitch,244
2007,pop,Ja (Hanno's Poppersmonstermix),358
2007,rock,Better Life,203
2007,rock,She Will Love You (Album Version),259
2007,rock,Teenage Queen (Album Version),207
2007,rock,Innocence,232
2007,pop,Irreplaceable (Irreemplazable),231
2007,rock,Mystic River,251
2007,reggae,Three Little Birds,320
2007,rock,I Love This Town,286
2007,pop,Break The Ice,530
2007,pop,The Reason I Go On,224
2007,rock,I Don't Want To Hear Any More,261
2007,rock,Last Good Time In Town,427
2007,country,Red Umbrella (Album Version),220
2007,rock,If Ever,254
2007,pop,First Boyfriend,156
2007,reggae,To Your Arms of Love,211
